Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Lanang Wijayanti,7A,2024/2025,224,Sangat Baik,80.0,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Harsana Saputra,7B,2023/2024,209,Baik,65.9,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Dina Puspita,9B,2024/2025,208,Baik,72.1,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Eva Pratiwi,9B,2023/2024,194,Kurang,84.5,Sedang,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Harsanto Mahendra,7B,2023/2024,183,Kurang,87.9,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Paris Mangunsong,9A,2023/2024,209,Baik,70.0,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Cakrawala Agustina,9B,2023/2024,237,Sangat Baik,81.3,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Yatim,Rendah
Gina Hariyah,8C,2024/2025,203,Baik,66.8,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Raihan Nugroho,9A,2024/2025,235,Sangat Baik,87.9,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Yatim,Rendah
Ciaobella Firgantoro,7A,2025/2026,202,Baik,96.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hamzah Megantara,7B,2024/2025,183,Kurang,68.1,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Hardana Gunawan,9A,2023/2024,229,Sangat Baik,74.8,Rendah,1,Ringan,Tidak Bekerja,> Rp 5.000.000,Lancar,Yatim,Sedang
Pertiwi,8A,2025/2026,187,Kurang,95.0,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Bakda Kuswoyo,8C,2024/2025,188,Kurang,82.1,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Sutan Asmadi Wulandari,8B,2023/2024,197,Kurang,66.6,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Luhung Farida,7B,2025/2026,206,Baik,67.1,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Cici Napitupulu,9C,2025/2026,223,Sangat Baik,77.5,Sedang,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mursinin Permadi,9B,2025/2026,187,Kurang,90.6,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Edward Siregar,9B,2024/2025,180,Kurang,94.4,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Puti Ratih Usada,9B,2024/2025,240,Sangat Baik,89.3,Tinggi,3,Sedang/Berat,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Vino Sihombing,9A,2023/2024,223,Sangat Baik,73.6,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Jayeng Tarihoran,7A,2025/2026,237,Sangat Baik,92.2,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Balijan Hakim,9A,2023/2024,188,Kurang,74.9,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim Piatu,Tinggi
Yance Sihotang,7B,2025/2026,208,Baik,68.8,Rendah,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Shania Farida,9A,2023/2024,209,Baik,65.4,Rendah,3,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Rangga Waluyo,8B,2023/2024,207,Baik,95.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Jarwadi Usada,8A,2024/2025,191,Kurang,70.6,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Betania Kusmawati,9C,2025/2026,210,Baik,71.2,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Juli Suryatmi,7B,2025/2026,237,Sangat Baik,76.1,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Bakidin Kusumo,9C,2023/2024,210,Baik,92.0,Tinggi,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Langgeng Astuti,9A,2025/2026,210,Baik,75.2,Sedang,1,Ringan,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Rina Prasasta,9A,2023/2024,230,Sangat Baik,65.7,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Fathonah Anggraini,7B,2024/2025,210,Baik,95.5,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Puti Maimunah Mardhiyah,7A,2023/2024,227,Sangat Baik,65.8,Rendah,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Safina Halimah,8A,2023/2024,195,Kurang,88.0,Tinggi,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Panca Mandala,8B,2024/2025,212,Baik,89.1,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Rendah
Cawisadi Haryanto,9C,2025/2026,194,Kurang,73.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Okto Uwais,9A,2023/2024,189,Kurang,90.8,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Joko Suwarno,9B,2023/2024,217,Baik,69.7,Rendah,5,Sedang/Berat,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Karimah Wulandari,7C,2024/2025,211,Baik,98.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ridwan Padmasari,7A,2023/2024,219,Baik,77.6,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Among Sitorus,7C,2024/2025,195,Kurang,86.0,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Silvia Wulandari,9B,2024/2025,205,Baik,76.6,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Mustofa Hutapea,9B,2023/2024,191,Kurang,96.1,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Cici Sihotang,9B,2025/2026,205,Baik,82.2,Sedang,2,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Karimah Jailani,7A,2023/2024,200,Baik,75.5,Sedang,3,Sedang/Berat,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gantar Napitupulu,7B,2023/2024,180,Kurang,88.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Karya Puspasari,8A,2025/2026,234,Sangat Baik,80.2,Sedang,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Pangestu Natsir,8A,2025/2026,198,Kurang,83.4,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Malik Tamba,7C,2024/2025,197,Kurang,92.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Vicky Maheswara,7C,2024/2025,210,Baik,75.9,Sedang,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Akarsana Pradipta,8C,2024/2025,181,Kurang,73.2,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Cemani Pradana,9B,2025/2026,220,Sangat Baik,65.8,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Suci Wijaya,7A,2024/2025,222,Sangat Baik,93.5,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Rendah
Emong Tarihoran,8B,2024/2025,221,Sangat Baik,74.2,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Luwar Farida,8C,2024/2025,213,Baik,72.2,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Hani Kusumo,9B,2024/2025,180,Kurang,69.1,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Titi Rahmawati,9A,2024/2025,218,Baik,88.7,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ade Firgantoro,8B,2023/2024,191,Kurang,91.3,Tinggi,5,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Aris Usada,8B,2024/2025,200,Baik,67.8,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Yatim Piatu,Sedang
Daliman Lestari,9C,2023/2024,215,Baik,72.9,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Saiful Rajata,7A,2024/2025,221,Sangat Baik,83.9,Sedang,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Jaga Sirait,7B,2025/2026,224,Sangat Baik,95.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sutan Prasetyo Widodo,9C,2024/2025,220,Sangat Baik,68.0,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Yatim Piatu,Sedang
Bakianto Latupono,9A,2024/2025,211,Baik,70.8,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Nalar Novitasari,7B,2023/2024,212,Baik,84.9,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Dalimin Firmansyah,8A,2025/2026,236,Sangat Baik,93.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Fitria Firmansyah,9C,2025/2026,187,Kurang,88.2,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Garan Megantara,7B,2025/2026,206,Baik,85.5,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Salwa Mardhiyah,7C,2023/2024,211,Baik,87.3,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Yatim Piatu,Rendah
Labuh Prasetya,9B,2024/2025,215,Baik,65.2,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Patricia Widodo,9A,2023/2024,220,Sangat Baik,97.2,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Tasnim Utama,7B,2023/2024,187,Kurang,81.8,Sedang,3,Sedang/Berat,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ade Ramadan,9B,2025/2026,237,Sangat Baik,74.4,Rendah,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Talia Marbun,9B,2024/2025,223,Sangat Baik,72.6,Rendah,5,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Daliono Suryono,7A,2023/2024,206,Baik,73.7,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Sakti Widodo,7A,2023/2024,188,Kurang,88.9,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Tantri Usamah,7B,2023/2024,197,Kurang,77.4,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tira Sudiati,9B,2023/2024,228,Sangat Baik,89.8,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nabila Saptono,7A,2023/2024,211,Baik,97.2,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Gada Padmasari,9A,2023/2024,190,Kurang,95.8,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Siti Palastri,9A,2024/2025,209,Baik,74.4,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Rini Kuswoyo,7A,2025/2026,239,Sangat Baik,83.2,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nova Maryadi,9C,2023/2024,237,Sangat Baik,75.6,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mala Wasita,7A,2023/2024,224,Sangat Baik,70.3,Rendah,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Anita Wasita,9C,2023/2024,181,Kurang,84.1,Sedang,0,Tidak Ada,Tidak Bekerja,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Winda Kusumo,7C,2023/2024,191,Kurang,93.0,Tinggi,2,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Cengkal Natsir,8A,2025/2026,192,Kurang,79.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Salman Mangunsong,7B,2023/2024,224,Sangat Baik,80.7,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Sutan Anom Sitompul,8A,2024/2025,181,Kurang,72.7,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Sabrina Puspita,8B,2023/2024,228,Sangat Baik,84.2,Sedang,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Yatim Piatu,Rendah
Irma Hastuti,9B,2025/2026,214,Baik,94.8,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Jatmiko Maulana,8B,2023/2024,232,Sangat Baik,95.3,Tinggi,10,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Jabal Pudjiastuti,9A,2023/2024,227,Sangat Baik,74.6,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Sedang
Harsaya Napitupulu,7B,2023/2024,230,Sangat Baik,86.7,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Wasis Ramadan,8B,2023/2024,221,Sangat Baik,89.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Yuni Dongoran,9A,2025/2026,215,Baik,73.2,Rendah,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Vera Hakim,8B,2025/2026,199,Kurang,96.0,Tinggi,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Farah Winarno,9A,2024/2025,206,Baik,94.2,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Najwa Nuraini,7A,2025/2026,221,Sangat Baik,77.2,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Johan Yulianti,7B,2025/2026,199,Kurang,88.5,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Radika Utama,7A,2024/2025,207,Baik,98.1,Tinggi,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Prasetya Wibisono,8B,2024/2025,230,Sangat Baik,72.3,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Rahmat Widiastuti,9A,2025/2026,227,Sangat Baik,71.3,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Karma Andriani,9C,2025/2026,184,Kurang,77.3,Sedang,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Fathonah Budiman,9C,2025/2026,232,Sangat Baik,74.4,Rendah,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Tami Damanik,7A,2024/2025,238,Sangat Baik,68.9,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Alika Rahayu,8C,2024/2025,213,Baik,78.4,Sedang,2,Ringan,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ibrahim Prakasa,9A,2023/2024,199,Kurang,87.3,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Cagak Samosir,8C,2025/2026,198,Kurang,86.3,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Diah Novitasari,8A,2025/2026,184,Kurang,76.4,Sedang,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Heryanto Sitorus,8C,2023/2024,192,Kurang,85.1,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Syahrini Prasetya,7C,2025/2026,226,Sangat Baik,97.9,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Oliva Puspasari,8C,2025/2026,227,Sangat Baik,74.9,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Makuta Saptono,7C,2023/2024,182,Kurang,65.3,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Iriana Usamah,8C,2024/2025,216,Baik,82.6,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Warsa Safitri,7C,2024/2025,192,Kurang,84.0,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Gandi Mansur,9C,2024/2025,192,Kurang,86.5,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Marsudi Kuswandari,8C,2024/2025,206,Baik,96.2,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Amelia Hakim,8B,2025/2026,212,Baik,68.9,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Himawan Mayasari,7C,2024/2025,220,Sangat Baik,79.2,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Bakda Zulaika,8A,2024/2025,219,Baik,76.7,Sedang,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Emas Sirait,7B,2023/2024,224,Sangat Baik,76.6,Sedang,10,Sedang/Berat,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Satya Marpaung,9B,2023/2024,230,Sangat Baik,73.9,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Muni Lestari,8A,2024/2025,237,Sangat Baik,92.4,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Almira Agustina,7A,2023/2024,212,Baik,67.2,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Gambira Rajata,8C,2025/2026,193,Kurang,96.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Nova Utama,9A,2024/2025,221,Sangat Baik,91.4,Tinggi,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Elvin Nuraini,9C,2025/2026,189,Kurang,92.3,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kurnia Nashiruddin,7B,2024/2025,185,Kurang,91.3,Tinggi,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Dagel Namaga,8B,2025/2026,192,Kurang,82.6,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Ciaobella Purwanti,7C,2024/2025,224,Sangat Baik,67.5,Rendah,5,Sedang/Berat,Karyawan Swasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Janet Purwanti,9B,2023/2024,220,Sangat Baik,70.7,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Lancar,Piatu,Sedang
Taufan Situmorang,9C,2025/2026,197,Kurang,97.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Puspa Simanjuntak,7A,2023/2024,237,Sangat Baik,65.4,Rendah,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Sedang
Dalima Kusumo,9A,2024/2025,216,Baik,98.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Maimunah Saputra,7B,2024/2025,240,Sangat Baik,79.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Mujur Mulyani,7B,2024/2025,203,Baik,76.6,Sedang,2,Ringan,Tidak Bekerja,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim,Sedang
Jessica Rahimah,8B,2023/2024,185,Kurang,79.4,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ghaliyati Utami,7C,2024/2025,181,Kurang,70.3,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Rina Simanjuntak,9B,2024/2025,240,Sangat Baik,91.2,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Sutan Harimurti Nainggolan,8A,2023/2024,180,Kurang,77.6,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Jaswadi Dongoran,8A,2023/2024,184,Kurang,75.4,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Yosef Yuliarti,9A,2023/2024,204,Baik,66.6,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Ajeng Suryatmi,7C,2023/2024,185,Kurang,67.6,Rendah,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Irma Siregar,9A,2023/2024,191,Kurang,76.2,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Wahyu Yolanda,8B,2023/2024,197,Kurang,79.5,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Joko Simbolon,9A,2023/2024,194,Kurang,95.4,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Safina Wahyuni,9A,2024/2025,211,Baik,97.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Capa Mangunsong,7B,2023/2024,197,Kurang,73.5,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Lembah Marbun,7B,2024/2025,225,Sangat Baik,87.3,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ika Lazuardi,8A,2024/2025,196,Kurang,77.2,Sedang,1,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
